scale,config,method,device,setup_ms,inference_ms,solve_ms,iters,total_ms
1024,v2_1024_d128_L3_hw,cg,gpu,0.00,,13.00,384,13.00
1024,v2_1024_d128_L3_hw,cg,cpu,0.00,,9.90,362,9.90
1024,v2_1024_d128_L3_hw,jacobi,gpu,0.00,,8.98,264,8.98
1024,v2_1024_d128_L3_hw,jacobi,cpu,0.00,,7.58,255,7.58
1024,v2_1024_d128_L3_hw,ic_amgx,gpu,7.37,,107.94,11,115.30
1024,v2_1024_d128_L3_hw,ic,cpu,4.10,,3.31,82,7.41
1024,v2_1024_d128_L3_hw,leafonly,gpu,,1.89,5.67,81,7.55
1024,v2_1024_d128_L3_hw,amg_cpu,cpu,6.02,,4.12,13,10.13
1024,v2_1024_d128_L3_hw,amgx_gpu,gpu,12.10,,71.82,2,83.91
2048,v2_2048_d128_L3_hw,cg,gpu,0.00,,31.77,867,31.77
2048,v2_2048_d128_L3_hw,cg,cpu,0.00,,39.11,268,39.11
2048,v2_2048_d128_L3_hw,jacobi,gpu,0.00,,22.44,612,22.44
2048,v2_2048_d128_L3_hw,jacobi,cpu,0.00,,31.75,215,31.75
2048,v2_2048_d128_L3_hw,ic_amgx,gpu,7.42,,163.53,15,170.94
2048,v2_2048_d128_L3_hw,ic,cpu,3.82,,11.46,65,15.28
2048,v2_2048_d128_L3_hw,leafonly,gpu,,1.93,7.01,96,8.94
2048,v2_2048_d128_L3_hw,amg_cpu,cpu,7.45,,0.24,0,7.68
2048,v2_2048_d128_L3_hw,amgx_gpu,gpu,12.80,,49.72,1,62.52
4096,v2_4096_d128_L3_hw,cg,gpu,0.00,,27.20,741,27.20
4096,v2_4096_d128_L3_hw,cg,cpu,0.00,,588.11,699,588.11
4096,v2_4096_d128_L3_hw,jacobi,gpu,0.00,,19.20,522,19.20
4096,v2_4096_d128_L3_hw,jacobi,cpu,0.00,,452.75,508,452.75
4096,v2_4096_d128_L3_hw,ic_amgx,gpu,6.39,,258.52,21,264.91
4096,v2_4096_d128_L3_hw,ic,cpu,3.83,,138.57,156,142.39
4096,v2_4096_d128_L3_hw,leafonly,gpu,,2.18,6.05,78,8.23
4096,v2_4096_d128_L3_hw,amg_cpu,cpu,8.14,,23.68,14,31.82
4096,v2_4096_d128_L3_hw,amgx_gpu,gpu,13.37,,65.50,1,78.87
8192,v2_8192_d128_L3_hw,cg,gpu,0.00,,42.30,1068,42.30
8192,v2_8192_d128_L3_hw,cg,cpu,0.00,,4024.88,1010,4024.88
8192,v2_8192_d128_L3_hw,jacobi,gpu,0.00,,29.48,744,29.48
8192,v2_8192_d128_L3_hw,jacobi,cpu,0.00,,2940.74,723,2940.74
8192,v2_8192_d128_L3_hw,ic_amgx,gpu,6.25,,360.10,29,366.36
8192,v2_8192_d128_L3_hw,ic,cpu,4.43,,870.28,220,874.71
8192,v2_8192_d128_L3_hw,leafonly,gpu,,4.03,13.31,162,17.33
8192,v2_8192_d128_L3_hw,amg_cpu,cpu,13.21,,71.90,14,85.11
8192,v2_8192_d128_L3_hw,amgx_gpu,gpu,14.11,,171.39,2,185.50
16384,v2_16384_d128_L3_hw,cg,gpu,0.00,,291.71,6456,291.71
16384,v2_16384_d128_L3_hw,cg,cpu,0.00,,13052.38,782,13052.38
16384,v2_16384_d128_L3_hw,jacobi,gpu,0.00,,175.54,3915,175.54
16384,v2_16384_d128_L3_hw,jacobi,cpu,0.00,,10385.26,622,10385.26
16384,v2_16384_d128_L3_hw,ic_amgx,gpu,6.51,,610.57,49,617.08
16384,v2_16384_d128_L3_hw,ic,cpu,4.70,,3093.13,187,3097.83
16384,v2_16384_d128_L3_hw,leafonly,gpu,,17.03,48.45,519,65.48
16384,v2_16384_d128_L3_hw,amg_cpu,cpu,30.72,,16.06,0,46.78
16384,v2_16384_d128_L3_hw,amgx_gpu,gpu,15.08,,306.16,3,321.24
